title,url,image url,description,verdict,pros,cons,price
Realme 8 ,https://www.techadvisor.com/review/realme-8-3806932/,https://www.techadvisor.com/cmsdata/reviews/3806932/realme_8_review_1_thumb800.jpg,"The Realme 8 isn't an especially exciting phone, but a solid, well-balanced feature set make it one of the better budget buys in 2021","The Realme 8 offers a welcome balance of features that should suit most users, making it the jack-of-all-trades of budget phones.","Pros,Thin & light,Solid specs,Reliable main camera","Cons,No 5G,Only 60Hz refresh rate,Giant slogan on the back",Not available in the US
Haier HTF-456DM6 Cube fridge freezer ,https://www.techadvisor.com/review/haier-htf-456dm6-cube-fridge-freezer-review-3795384/,https://www.techadvisor.com/cmsdata/reviews/3795384/haier_cube_htf_456dm6_review_thumb800.jpg,"Haier's four-door fridge freezer has all the space, features and convenience of an American-style appliance and is designed to fit a UK kitchen. But what is it like to use? Find out in our hands-on review.",The Haier HTF-456DM6 is a handsome appliance with high-end features at an affordable price. The Humidity Zone drawers will make a real difference to the longevity of your fresh produce but it's the four-door experience that sets this fridge freezer apart.,"Pros,Four-door design, Humidity Zone drawers, Door storage rack","Cons,Integral fridge door seal, Lack of ice dispenser, Stiff manual ice maker",0.0
Motorola Defy (2021) ,https://www.techadvisor.com/review/motorola-defy-2021-3806594/,https://www.techadvisor.com/cmsdata/reviews/3806594/motorola_defy_review_thumb800.jpeg,Motorola returns to the rugged phone space with an affordable and impressively tough handset. But there are considerable trade-offs to meeting that military-grade specification of the Defy,"The Motorola Defy lives up to its classic branding with an extremely tough yet surprisingly easy to live with handset that doesn’t cost the earth, but with inevitable compromises.","Pros,Extremely resilient design, Quite cheap for a rugged phone, Clean Android with Moto additions","Cons,Slow performance, Below-average 720p display, Basic camera set-up",Price TBC
Genius Hub ,https://www.techadvisor.com/review/heat-genius-review-3582552/,https://www.techadvisor.com/cmsdata/reviews/3582552/genius_hub_valve_thumb800.jpg,"A smart thermostat that lets you decide how hot a room can be, any time, from anywhere. We've refreshed our Genius review for the 2021 product range",,"Pros,Easy to use,Efficient,Highly customisable","Cons,Initially expensive, UK only",Not available in US
iMac 2021 (M1) ,https://www.techadvisor.com/review/imac-2021-m1-3806565/,https://www.techadvisor.com/cmsdata/reviews/3806565/apple_imac_m1_24inch_94_thumb800.jpg,Apple's latest iMac introduces a much-needed redesign with various colours to choose from along with solid specs revolving around a 4.5K Retina display and M1 chip,The latest iMac is a captivating machine that combines stunning design with excellent specs and only minor quibbles. It's a great all-rounder all-in-one with unnecessarily complicated model options.,"Pros,Stunning design, Excellent screen, Solid specs, Smooth performance","Cons,Overly complex SKUs, No USB-A, Moves too easily","From $1,299"
Ring Video Doorbell Pro 2 ,https://www.techadvisor.com/review/ring-video-doorbell-pro-2-3806634/,https://www.techadvisor.com/cmsdata/reviews/3806634/ring-video-doorbell-pro-2-review_thumb800.jpg,"With some significant upgrades, the Doorbell Pro 2 offers some impressive features. But it’s not for everyone.",One of the best smart doorbells you can buy with excellent video quality and reliable motion detection.,"Pros,Excellent motion detection,Good quality video,Wide viewing angle","Cons,Expensive,No face recognition or package detection,No continuous recording option",$249.99
LG InstaView Door-in-Door GSX961MCCZ fridge freezer ,https://www.techadvisor.com/review/lg-instaview-door-in-door-gsx961mccz-fridge-freezer-3806023/,https://www.techadvisor.com/cmsdata/reviews/3806023/lg_door_in_door_gsx961mccz_review_thumb800.jpg,"This fridge-freezer is crammed with brilliant features, including a crushed and cubed ice maker, quick drink and snack access and app control - but it's the knock knock feature that's the knock-out.",A fantastic appliance packed with fun features that will delight any busy household.,"Pros,Door-in-door feature, InstaView door pane with knock lighting, Water dispenser with crushed and cubed ice, Smart features","Cons,Very basic owner’s manual, Mechanical humidity switch, Noisy ice-maker",Not available in US
Realme GT ,https://www.techadvisor.com/review/realme-gt-3806639/,https://www.techadvisor.com/cmsdata/reviews/3806639/realme_gt_review_thumb800.jpg,Is Realme the new OnePlus? It certainly looks that way with the flagship killer Realme GT offering high-end specs at a mid-range price,"With an unbelievable set of specs in a standout design with a surprisingly low price, the Realme GT is 2021's flagship killer.","Pros,Flagship core specs, 120Hz Super AMOLED screen, Vegan leather option, 65W fast charging","Cons,Basic ultrawide & macro cameras, No waterproofing, No wireless charging",$599 (8/128GB) | $699 (12/256GB)
Samsung Galaxy SmartTag ,https://www.techadvisor.com/review/samsung-galaxy-smarttag-plus-3806452/,https://www.techadvisor.com/cmsdata/reviews/3806452/galaxy_smarttag_review_2_thumb800.jpg,"Samsung introduced the SmartTag and SmartTag+ at the start of the year. Now they're here, how do they stand up to their main tracker rivals? We find out.","An easy buy for entrenched Samsung Galaxy users, but a tougher sell for those willing to consider the wider tracker market; not to mention a no-go for those with iPhones or other Android phones.","Pros,Precision Finding works really well,Replaceable battery,Keyring hole","Cons,Requires specific Samsung Galaxy phone models,Weaker battery than rivals,No separation alerts",From $29.99 (SmartTag+ from $39.99)
Tronsmart Apollo Air+ ,https://www.techadvisor.com/review/tronsmart-apollo-air-plus-3806306/,https://www.techadvisor.com/cmsdata/reviews/3806306/tronsmart_apollo_air_plus_review_pair_thumb800.jpg,"Tronsmart's new ANC equipped Apollo+ have an affordable price, taking on the likes of Anker and Huawei at budget noise cancelling wireless earbuds",Excellent sound quality and useful noise reduction modes make the Tronsmart Apollo Air+ easy to recommend. Throw in the proximity sensors and solid battery life and it’s a pretty potent combination.,"Pros,Great sound, ANC modes, Proximity sensor","Cons,Noise reduction is subtle, Higher end of budget price range",$99.99
